date,trip_count
2018-05-01,5724
2018-05-02,6782
2018-05-03,5990
2018-05-04,5507
2018-05-05,5513
2018-05-06,3428
2018-05-07,5909
2018-05-08,6290
2018-05-09,6414
2018-05-10,6510
2018-05-11,6961
2018-05-12,1858
2018-05-13,3601
2018-05-14,6762
2018-05-15,4898
2018-05-16,6164
2018-05-17,6955
2018-05-18,6930
2018-05-19,2188
2018-05-20,4123
2018-05-21,7214
2018-05-22,5489
2018-05-23,7472
2018-05-24,7393
2018-05-25,7325
2018-05-26,5231
2018-05-27,2726
2018-05-28,3390
2018-05-29,7237
2018-05-30,7317
2018-05-31,7321
2018-06-01,6553
2018-06-02,4750
2018-06-03,5165
2018-06-04,2851
2018-06-05,5677
2018-06-06,6993
2018-06-07,7514
2018-06-08,7750
2018-06-09,6381
2018-06-10,6088
2018-06-11,7234
2018-06-12,8068
2018-06-13,7352
2018-06-14,7916
2018-06-15,6954
2018-06-16,6316
2018-06-17,5682
2018-06-18,6584
2018-06-19,7839
2018-06-20,8453
2018-06-21,8621
2018-06-22,8523
2018-06-23,4548
2018-06-24,5295
2018-06-25,8001
2018-06-26,9057
2018-06-27,8222
2018-06-28,4321
2018-06-29,7761
2018-06-30,5757
2018-07-01,5175
2018-07-02,7674
2018-07-03,6942
2018-07-04,6424
2018-07-05,6872
2018-07-06,6206
2018-07-07,6780
2018-07-08,6491
2018-07-09,8271
2018-07-10,8201
2018-07-11,9179
2018-07-12,9484
2018-07-13,9158
2018-07-14,7459
2018-07-15,6748
2018-07-16,8793
2018-07-17,4895
2018-07-18,9294
2018-07-19,9437
2018-07-20,9342
2018-07-21,7782
2018-07-22,3420
2018-07-23,7821
2018-07-24,8863
2018-07-25,8016
2018-07-26,7407
2018-07-27,8966
2018-07-28,7404
2018-07-29,7528
2018-07-30,9238
2018-07-31,9736
2018-08-01,9310
2018-08-02,8670
2018-08-03,8220
2018-08-04,4965
2018-08-05,6906
2018-08-06,7939
2018-08-07,8402
2018-08-08,7527
2018-08-09,8400
2018-08-10,8659
2018-08-11,3146
2018-08-12,3644
2018-08-13,5974
2018-08-14,7997
2018-08-15,8704
2018-08-16,8435
2018-08-17,7463
2018-08-18,4959
2018-08-19,6680
2018-08-20,8513
2018-08-21,8863
2018-08-22,6507
2018-08-23,8913
2018-08-24,8382
2018-08-25,7224
2018-08-26,6824
2018-08-27,8100
2018-08-28,8231
2018-08-29,7836
2018-08-30,8589
2018-08-31,8613
2018-09-01,6560
2018-09-02,7490
2018-09-03,6719
